Ticker,Buy_Date,Sell_Date,Buy_Price,Sell_Price,PnL,Return_%,Holding_Period
ADANIPOWER.NS,2021-03-19,2021-03-30,18.440000534057617,17.899999618530273,-2911.6849365234375,-0.029284213659863688,11
HINDCOPPER.NS,2021-03-05,2021-03-31,138.09962463378906,116.23302459716797,-11195.69921875,-0.15833931550941346,26
JBMA.NS,2021-01-29,2021-04-06,74.49032592773438,81.16228485107422,6271.641387939453,0.08956812633378113,67
ATGL.NS,2020-11-20,2021-04-08,344.6794128417969,991.6085815429688,135855.1254272461,1.8769010988135328,139
IFCI.NS,2021-03-19,2021-04-08,12.350000381469727,11.649999618530273,-3685.5040168762207,-0.05668022196904165,20
ADANIENSOL.NS,2021-02-19,2021-04-09,770.1500244140625,973.5499877929688,20136.59637451172,0.2641043393248671,49
ADANIENT.NS,2020-09-04,2021-04-12,284.3318786621094,1071.317626953125,135361.5487060547,2.7678421146235364,220
PGEL.NS,2021-03-19,2021-04-13,38.69032669067383,35.04311752319336,-7764.908317565918,-0.09426669349782503,25
OLECTRA.NS,2021-03-26,2021-04-15,213.68775939941406,189.02381896972656,-10654.822265625,-0.1154204644150297,20
MMTC.NS,2021-03-12,2021-04-19,44.0,38.79999923706055,-7508.80110168457,-0.11818183552135121,38
DEEPAKFERT.NS,2021-03-19,2021-04-19,220.6953582763672,218.1682891845703,-904.6907348632812,-0.01145048591657436,31
NEULANDLAB.NS,2021-02-19,2021-04-26,2131.654052734375,2415.57177734375,9369.284912109375,0.1331912766263269,66
INTELLECT.NS,2021-03-26,2021-05-12,607.1734008789062,691.1295776367188,9738.91650390625,0.13827380553278978,47
GPIL.NS,2021-04-09,2021-05-14,197.56800842285156,231.92079162597656,16214.513671875,0.1738782684370655,35
JINDALSTEL.NS,2021-04-16,2021-05-14,407.50091552734375,410.74908447265625,870.50927734375,0.007970948828689305,28
PGEL.NS,2021-04-23,2021-05-14,32.4700927734375,31.60076141357422,-1684.764175415039,-0.026773294610800955,21
JSWSTEEL.NS,2021-04-09,2021-05-24,584.4942016601562,641.390625,14110.31298828125,0.09734300730142258,45
DCMSHRIRAM.NS,2021-04-30,2021-05-25,662.8682250976562,618.3718872070312,-5606.53857421875,-0.06712697366670371,25
ADANIENSOL.NS,2021-04-09,2021-05-26,973.5499877929688,1392.550048828125,37291.005432128906,0.43038371556557314,47
HEG.NS,2021-04-16,2021-05-28,397.705078125,403.11279296875,1000.42724609375,0.01359729895641498,42
IIFL.NS,2021-04-09,2021-05-31,269.566162109375,241.17547607421875,-8943.066101074219,-0.10531991780050229,52
USHAMART.NS,2021-05-14,2021-06-07,48.47127151489258,47.18315887451172,-1973.3885650634766,-0.026574764806512094,24
PNBHOUSING.NS,2021-06-04,2021-06-09,686.3847045898438,662.8770141601562,-5265.72265625,-0.03424856392121203,5
GRAPHITE.NS,2021-04-16,2021-06-14,578.9102172851562,655.592529296875,9508.606689453125,0.1324597661643049,59
ATGL.NS,2021-04-09,2021-06-16,1090.744384765625,1392.045654296875,20789.78759765625,0.27623453646840684,68
ADANIENSOL.NS,2021-05-28,2021-06-16,1444.9000244140625,1374.0999755859375,-5805.60400390625,-0.04899996375654843,19
POONAWALLA.NS,2021-04-09,2021-06-18,116.04369354248047,147.29193115234375,22217.496940612793,0.2692799294467833,70
PATANJALI.NS,2021-05-28,2021-06-21,346.10833740234375,382.53485107421875,12640.000244140625,0.10524598726880692,24
SPLPETRO.NS,2021-04-23,2021-06-23,292.2697448730469,326.2242431640625,11985.937896728516,0.11617520761775883,61
RPOWER.NS,2021-05-14,2021-06-24,6.800000190734863,15.800000190734863,109728.0,1.3235293746407066,41
PNBHOUSING.NS,2021-06-11,2021-06-24,667.0061645507812,543.2942504882812,-21525.873046875,-0.18547341934361003,13
FACT.NS,2021-03-19,2021-06-28,103.70777130126953,131.4163360595703,12607.396965026855,0.2671792519560353,101
SAIL.NS,2021-05-14,2021-07-02,109.66203308105469,107.24713897705078,-1893.2769775390625,-0.02202124141013309,49
RPOWER.NS,2021-06-25,2021-07-07,15.050000190734863,12.850000381469727,-17377.798493385315,-0.1461793874673509,12
TTML.NS,2021-06-11,2021-07-09,23.899999618530273,46.45000076293945,183015.8092880249,0.9435147072942041,28
HFCL.NS,2021-05-14,2021-07-15,36.8372688293457,77.68504333496094,94725.98907852173,1.1088708746256084,62
JWL.NS,2021-06-25,2021-07-15,30.7767391204834,36.634254455566406,26956.285572052002,0.1903228055497455,20
JPPOWER.NS,2021-06-25,2021-07-16,5.550000190734863,5.849999904632568,6639.293668270111,0.05405400064643651,21
ANGELONE.NS,2021-07-02,2021-07-20,79.29237365722656,115.00355529785156,51959.769287109375,0.4503734721702375,18
TTML.NS,2021-07-09,2021-07-22,46.45000076293945,39.70000076293945,-24435.0,-0.14531754336128122,13
