date,current_universe_equity,pit_universe_equity
2026-05-26,8492830.776770592,4475260.135855675
2026-05-27,8492830.776770592,4475260.135855675
2026-05-29,8492830.776770592,4475260.135855675
2026-06-01,8492830.776770592,4475260.135855675
2026-06-02,8492830.776770592,4475260.135855675
2026-06-03,8492830.776770592,4475260.135855675
2026-06-04,8492830.776770592,4475260.135855675
2026-06-05,8492830.776770592,4475260.135855675
2026-06-08,8492830.776770592,4475260.135855675
2026-06-09,8492830.776770592,4475260.135855675
2026-06-10,8492830.776770592,4475260.135855675
2026-06-11,8492830.776770592,4475260.135855675
2026-06-12,8492830.776770592,4475260.135855675
2026-06-15,8492830.776770592,4475260.135855675
2026-06-16,8492830.776770592,4475260.135855675
2026-06-17,8492830.776770592,4475260.135855675
2026-06-18,8492830.776770592,4475260.135855675
2026-06-19,8492830.776770592,4475260.135855675
2026-06-22,8492830.776770592,4475260.135855675
2026-06-23,8492830.776770592,4475260.135855675
2026-06-24,8492830.776770592,4475260.135855675
2026-06-25,8492830.776770592,4475260.135855675
2026-06-29,8492830.776770592,4475260.135855675
2026-06-30,8492830.776770592,4475260.135855675
2026-07-01,8492830.776770592,4475260.135855675
2026-07-02,8492830.776770592,4475260.135855675
2026-07-03,8492830.776770592,4475260.135855675
2026-07-06,8492830.776770592,4475260.135855675
2026-07-07,8492830.776770592,4475260.135855675
2026-07-08,8492830.776770592,4475260.135855675
2026-07-09,8492830.776770592,4475260.135855675
2026-07-10,8492830.776770592,4475260.135855675
